|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
| Rank | Repo                                                                     | Description                                                                                                                                                                         | Category                 | Created At | Languages (Top 3)              | License                                 |
|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
|    1 | [metasploit-framework](https://github.com/rapid7/metasploit-framework)   | Exploitation framework: tools for pen testing from Rapid7                                                                                                                           | Pen Testing              | 2011-08-30 | Ruby, PowerShell, C            | Other                                   |
|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
|    2 | [vault](https://github.com/hashicorp/vault)                              | Secrets management tool from Hashicorp                                                                                                                                              | Identity                 | 2015-02-25 | Go, JavaScript, Handlebars     | Mozilla Public License 2.0              |
|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
|    3 | [openssl](https://github.com/openssl/openssl)                            | Toolkit & crypto library for Transport Layer Security (TLS)/ Secure Sockets Layer (SSL) protocol                                                                                    | Network Security         | 2013-01-15 | C, Perl, Raku                  | Apache License 2.0                      |
|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
|    4 | [mitmproxy](https://github.com/mitmproxy/mitmproxy)                      | SSL/TLS-capable intercepting proxy with a console interface for HTTP/1, HTTP/2, and WebSockets                                                                                      | Pen Testing              | 2010-02-16 | Python, TypeScript, JavaScript | MIT License                             |
|------|--------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|------------|--------------------------------|-----------------------------------------|
|    5 | [cilium](https://github.com/cilium/cilium)                               | Provides secure network connectivity between app services deployed using containers - Docker / K8s (using e-BPF based dataplane) from Isovalent                                     | Cloud Security           | 2015-12-16 | Go, C, Shell                   | Apache License 2.0                      |
